Year,Team,League,Div,WAA,PWAA,PosWAA
2016,ARI,NL,NLW,-8.7,-7.2,-1.5
2016,ATL,NL,NLE,-12.2,-6.0,-6.2
2016,BAL,AL,ALE,4.2,3.0,1.2
2016,BOS,AL,ALE,16.6,-1.0,17.6
2016,CHC,NL,NLC,24.8,9.9,14.9
2016,CWS,AL,ALC,-1,0.5,-1.5
2016,CIN,NL,NLC,-13,-9.5,-3.5
2016,CLE,AL,ALC,-8.1,6.8,-14.9
2016,COL,NL,NLW,-2.1,-4.9,2.8
2016,DET,AL,ALC,4.7,5.9,-1.2
2016,HOU,AL,ALW,0.9,-8.0,8.9
2016,KCR,AL,ALC,-2.4,2.0,-4.4
2016,LAA,AL,ALW,-5.7,-8.1,2.4
2016,LAD,NL,NLW,7.5,4.0,3.5
2016,MIA,NL,NLE,0.3,-2.5,2.8
2016,MIL,NL,NLC,-4.1,-0.5,-3.6
2016,MIN,AL,ALC,-18.3,-10.6,-7.7
2016,NYM,NL,NLE,6.4,8.4,-2
2016,NYY,AL,ALE,-2.4,3.9,-6.3
2016,OAK,AL,ALW,-10.4,1.3,-11.7
2016,PHI,NL,NLE,-17.8,-6.5,-11.3
2016,PIT,NL,NLC,-4,-1.8,-2.2
2016,SDP,NL,NLW,-11.6,-7.5,-4.1
2016,SEA,AL,ALW,11.8,-1.7,13.5
2016,SFG,NL,NLW,1.1,5.1,-4
2016,STL,NL,NLC,8.1,4.4,3.7
2016,TBR,AL,ALE,-3.5,-3.3,-0.2
2016,TEX,AL,ALW,-0.2,3.6,-3.8
2016,TOR,AL,ALE,7.9,5.0,2.9
2018,WSH,NL,NLE,12.8,12.4,0.4
