Year,Team,League,Div,WAA,PWAA,PosWAA
2018,ARI,NL,NLW,1,-0.2,1.2
2018,ATL,NL,NLE,8.8,1.2,7.6
2018,BAL,AL,ALE,-21.5,-9.7,-11.8
2018,BOS,AL,ALE,20,10,10
2018,CHC,NL,NLC,13,1.5,11.5
2018,CWS,AL,ALC,-17.3,-10.3,-7
2018,CIN,NL,NLC,-8.7,-5.3,-3.4
2018,CLE,AL,ALC,15.2,9,6.2
2018,COL,NL,NLW,3.3,7,-3.7
2018,DET,AL,ALC,-18.1,-1.4,-16.7
2018,HOU,AL,ALW,23.4,13.7,9.7
2018,KCR,AL,ALC,-17.6,-6.3,-11.3
2018,LAA,AL,ALW,2.4,-0.5,2.9
2018,LAD,NL,NLW,18.3,3.1,15.2
2018,MIA,NL,NLE,-23.9,-13.8,-10.1
2018,MIL,NL,NLC,7.6,-4.2,11.8
2018,MIN,AL,ALC,-8.2,-5.3,-2.9
2018,NYM,NL,NLE,0.3,2.6,-2.3
2018,NYY,AL,ALE,14.4,1.8,12.6
2018,OAK,AL,ALW,13.4,3.9,9.5
2018,PHI,NL,NLE,-3.6,9.8,-13.4
2018,PIT,NL,NLC,-0.3,-0.9,0.6
2018,SDP,NL,NLW,-14.3,-10.2,-4.1
2018,SEA,AL,ALW,-10.4,-0.1,1.8
2018,SFG,NL,NLW,1.7,-0.4,-10
2018,STL,NL,NLC,0.9,0.4,0.5
2018,TBR,AL,ALE,9.2,0.4,8.8
2018,TEX,AL,ALW,-7.1,0.1,-7.2
2018,TOR,AL,ALE,-11.1,-6.5,-4.6
2018,WSH,NL,NLE,6.9,7.2,-0.3
