Year,Team,League,Div,WAA,PWAA,PosWAA
2017,ARI,NL,NLW,15.6,13.9,1.7
2017,ATL,NL,NLE,-10.5,-5.6,-4.9
2017,BAL,AL,ALE,-8.3,-7.6,-0.7
2017,BOS,AL,ALE,5.4,6.0,-0.6
2017,CHC,NL,NLC,9.5,1.6,7.9
2017,CWS,AL,ALC,-9.8,-5.4,-4.4
2017,CIN,NL,NLC,-8.9,-15.5,6.6
2017,CLE,AL,ALC,23.9,17.0,6.9
2017,COL,NL,NLW,8.1,9.9,-1.8
2017,DET,AL,ALC,-12.2,-1.3,-10.9
2017,HOU,AL,ALW,16.7,-0.8,17.5
2017,KCR,AL,ALC,-6.1,4.1,-10.2
2017,LAA,AL,ALW,-3.6,-3.4,-0.2
2017,LAD,NL,NLW,16.1,6.4,9.7
2017,MIA,NL,NLE,-4,-17.2,13.2
2017,MIL,NL,NLC,4.1,5.0,-0.9
2017,MIN,AL,ALC,1.6,-5.1,6.7
2017,NYM,NL,NLE,-9.9,-9.0,-0.9
2017,NYY,AL,ALE,16.7,8.8,7.9
2017,OAK,AL,ALW,-8.2,-6.4,-1.8
2017,PHI,NL,NLE,-4.5,0.0,-4.5
2017,PIT,NL,NLC,-8,-0.4,-7.6
2017,SDP,NL,NLW,-15.8,-6.8,-9
2017,SEA,AL,ALW,-13.7,-5.0,-8.7
2017,SFG,NL,NLW,-0.8,1.7,-2.5
2017,STL,NL,NLC,3.2,0.4,2.8
2017,TBR,AL,ALE,-2.7,-2.7,0
2017,TEX,AL,ALW,-3.6,2.4,-6
2017,TOR,AL,ALE,-8.9,-0.5,-8.4
2017,WSH,NL,NLE,16.2,12.9,3.3
