Year,Team,League,Div,WAA,PWAA,PosWAA
2020,ARI,NL,NLW,-2.9,-1.1,-1.8
2020,ATL,NL,NLE,7.3,3.1,4.2
2020,BAL,AL,ALE,3.8,4,-0.2
2020,BOS,AL,ALE,0,-1.4,1.4
2020,CHC,NL,NLC,0,0.4,-0.4
2020,CWS,AL,ALC,3.8,-1.5,5.3
2020,CIN,NL,NLC,-3.2,1.9,-5.1
2020,CLE,AL,ALC,2.1,4.2,-2.1
2020,COL,NL,NLW,-5.1,-2.6,-2.5
2020,DET,AL,ALC,9.7,-5.3,15
2020,HOU,AL,ALW,0,0.3,-0.3
2020,KCR,AL,ALC,-3.3,-0.2,-3.1
2020,LAA,AL,ALW,-1.9,-0.8,-1.1
2020,LAD,NL,NLW,11.8,3.7,8.1
2020,MIA,NL,NLE,-1.7,1.2,-2.9
2020,MIL,NL,NLC,-4.6,1.4,-6
2020,MIN,AL,ALC,2.3,0.7,1.6
2020,NYM,NL,NLE,3.3,0.1,3.2
2020,NYY,AL,ALE,4.5,0.3,4.2
2020,OAK,AL,ALW,3.4,3.7,-0.3
2020,PHI,NL,NLE,1.5,1.4,0.1
2020,PIT,NL,NLC,-13.7,-6.8,-6.9
2020,SDP,NL,NLW,8.4,1.7,6.7
2020,SEA,AL,ALW,0.4,-5.2,5.6
2020,SFG,NL,NLW,7,-3.1,10.1
2020,STL,NL,NLC,-3.3,-4.7,1.4
2020,TBR,AL,ALE,8.8,2.7,6.1
2020,TEX,AL,ALW,-8.3,-4,-4.3
2020,TOR,AL,ALE,1.7,2.5,-0.8
2020,WSH,NL,NLE,2.2,3.5,-1.3
